订单ID,订单日期,邮寄方式,国家,地区,省/自治区,细分,类别,子类别,制造商,产品名称,数量,销售额,利润
A1000013,2013/1/8,一级,中国,中南,广东,公司,技术,电话,三星,"三星 耳机, 混合尺寸",2,426.00 ,-206
A1000014,2013/1/9,标准级,中国,东北,辽宁,公司,办公用品,系固件,Stockwell,"Stockwell 橡皮筋, 整包",3,136.00 ,-64
A1000016,2013/1/9,二级,中国,华东,福建,小型企业,办公用品,用品,Stiletto,"Stiletto 尺子, 蓝色",1,69.00 ,25
A1000015,2013/1/9,二级,中国,华东,山东,小型企业,办公用品,器具,Hoover,"Hoover 微波炉, 银色",1,1444.00 ,173
A1000014,2013/1/9,标准级,中国,东北,辽宁,公司,技术,电话,苹果,"苹果 音频基座, 整包",9,4208.00 ,-1473
A1000016,2013/1/9,二级,中国,华东,福建,小型企业,技术,设备,松下,"松下 计算器, 白色",7,1591.00 ,16
A1000015,2013/1/9,二级,中国,华东,山东,小型企业,技术,配件,Memorex,"Memorex 键盘, 回收",3,968.00 ,126
A1000017,2013/1/10,二级,中国,华东,上海,消费者,办公用品,纸张,Enermax,"Enermax 信纸, 优质",1,220.00 ,66
A1000017,2013/1/10,二级,中国,华东,上海,消费者,办公用品,纸张,Enermax,"Enermax 备忘录便条, 回收",7,509.00 ,106
A1000018,2013/1/10,标准级,中国,华北,天津,公司,办公用品,纸张,施乐,"施乐 备忘录便条, 回收",2,125.00 ,15
A1000019,2013/1/11,一级,中国,华北,天津,公司,办公用品,信封,Kraft,"Kraft 局间信封, 红色",1,235.00 ,26
A1000021,2013/1/11,标准级,中国,中南,湖南,公司,办公用品,收纳具,Eldon,"Eldon 盒, 工业",3,150.00 ,29
A1000021,2013/1/11,标准级,中国,中南,湖南,公司,办公用品,用品,Acme,"Acme 大剪刀, 工业",3,722.00 ,101
A1000020,2013/1/11,标准级,中国,西北,陕西,公司,办公用品,用品,Fiskars,"Fiskars 修剪器, 蓝色",12,2369.00 ,1159
A1000023,2013/1/11,标准级,中国,东北,黑龙江,消费者,办公用品,用品,Acme,"Acme 美工刀, 工业",3,331.00 ,-133
A1000023,2013/1/11,标准级,中国,东北,黑龙江,消费者,办公用品,系固件,Accos,"Accos 按钉, 整包",3,122.00 ,-41
A1000023,2013/1/11,标准级,中国,东北,黑龙江,消费者,技术,配件,罗技,"罗技 键区, 实惠",3,389.00 ,-65
A1000022,2013/1/11,标准级,中国,华北,山西,公司,技术,配件,罗技,"罗技 鼠标, 实惠",5,683.00 ,198
A1000025,2013/1/12,当日,中国,中南,河南,消费者,办公用品,收纳具,Smead,"Smead 文件夹, 蓝色",2,163.00 ,67
A1000025,2013/1/12,当日,中国,中南,河南,消费者,家具,椅子,Hon,"Hon 椅垫, 可调",4,1083.00 ,542
A1000025,2013/1/12,当日,中国,中南,河南,消费者,家具,椅子,Novimex,"Novimex 凳子, 每套两件",3,2334.00 ,280
A1000024,2013/1/12,标准级,中国,东北,辽宁,公司,办公用品,系固件,Stockwell,"Stockwell 夹子, 每包 12 个",5,435.00 ,122
A1000026,2013/1/13,一级,中国,华东,安徽,消费者,家具,椅子,Safco,"SAFCO 椅垫, 可调",6,1745.00 ,802
A1000027,2013/1/13,一级,中国,华北,天津,消费者,家具,用具,Deflect-O,"Deflect-O 分层置放架, 优质",7,781.00 ,156
A1000027,2013/1/13,一级,中国,华北,天津,消费者,家具,用具,Rubbermaid,"Rubvermaid 闹钟, 黑色",10,2341.00 ,116
A1000028,2013/1/13,标准级,中国,中南,广东,小型企业,办公用品,系固件,Accos,"Accos 图钉, 金属",5,322.00 ,13
A1000028,2013/1/13,标准级,中国,中南,广东,小型企业,办公用品,纸张,Green Bar,"Green Bar 信纸, 优质",7,1581.00 ,553
A1000028,2013/1/13,标准级,中国,中南,广东,小型企业,办公用品,装订机,Acco,"Acco 装订机, 实惠",3,212.00 ,40
A1000028,2013/1/13,标准级,中国,中南,广东,小型企业,家具,用具,Deflect-O,"Deflect-O 框架, 优质",1,507.00 ,243
A1000029,2013/1/16,标准级,中国,华北,北京,消费者,办公用品,美术,Binney & Smith,"Binney & Smith 铅笔刀, 蓝色",3,75.00 ,-146
A1000032,2013/1/17,一级,中国,华北,天津,消费者,家具,用具,Eldon,"Eldon 框架, 黑色",5,2713.00 ,1247
A1000032,2013/1/17,一级,中国,华北,天津,消费者,家具,用具,Eldon,"Eldon 灯泡, 黑色",2,235.00 ,103
A1000033,2013/1/17,标准级,中国,中南,河南,小型企业,办公用品,用品,Acme,"Acme 开信刀, 锯齿状",5,377.00 ,18
A1000033,2013/1/17,标准级,中国,中南,河南,小型企业,技术,电话,诺基亚,"诺基亚 音频基座, 蓝色",6,2801.00 ,-140
A1000030,2013/1/17,二级,中国,华北,北京,小型企业,办公用品,收纳具,Rogers,"Rogers 文件车, 单宽度",6,3966.00 ,1586
A1000030,2013/1/17,二级,中国,华北,北京,小型企业,家具,用具,Eldon,"Eldon 框架, 优质",3,1608.00 ,740
A1000031,2013/1/17,标准级,中国,中南,广东,消费者,家具,椅子,Office Star,"Office Star 扶手椅, 红色",2,4363.00 ,1527
A1000035,2013/1/18,二级,中国,东北,吉林,消费者,办公用品,器具,KitchenAid,"KitchenAid 咖啡研磨机, 红色",4,1315.00 ,144
A1000034,2013/1/18,二级,中国,华东,安徽,消费者,办公用品,系固件,OIC,"OIC 订书钉, 每包 12 个",2,101.00 ,37
A1000039,2013/1/21,一级,中国,东北,吉林,小型企业,家具,书架,宜家,"宜家 搁架, 白色",1,807.00 ,403
A1000037,2013/1/21,一级,中国,中南,广东,公司,办公用品,标签,Harbour Creations,"Harbour Creations 运输标签, 耐用",5,277.00 ,132
A1000037,2013/1/21,一级,中国,中南,广东,公司,办公用品,系固件,Stockwell,"Stockwell 回形针, 混合尺寸",5,256.00 ,51
A1000036,2013/1/21,二级,中国,华东,安徽,公司,办公用品,收纳具,Eldon,"Eldon 搁板, 金属",2,443.00 ,124
A1000038,2013/1/21,一级,中国,东北,辽宁,消费者,办公用品,系固件,OIC,"OIC 按钉, 混合尺寸",3,104.00 ,-26
A1000038,2013/1/21,一级,中国,东北,辽宁,消费者,办公用品,装订机,Acco,"Acco 孔加固材料, 实惠",3,56.00 ,1
A1000038,2013/1/21,一级,中国,东北,辽宁,消费者,家具,用具,Deflect-O,"Deflect-O 相框, 耐用",3,411.00 ,-89
A1000040,2013/1/22,标准级,中国,中南,河南,公司,办公用品,收纳具,Rogers,"Rogers 盘, 金属",6,1701.00 ,731
A1000040,2013/1/22,标准级,中国,中南,河南,公司,办公用品,装订机,Acco,"Acco 打孔机, 回收",2,284.00 ,108
A1000041,2013/1/23,二级,中国,华北,山西,消费者,办公用品,器具,KitchenAid,"KitchenAid 炉灶, 白色",2,5304.00 ,955
A1000041,2013/1/23,二级,中国,华北,山西,消费者,家具,书架,宜家,"宜家 墙角架, 传统",3,1723.00 ,620
A1000043,2013/1/25,二级,中国,华东,山东,消费者,办公用品,器具,Breville,"Breville 搅拌机, 红色",3,1263.00 ,126
A1000043,2013/1/25,二级,中国,华东,山东,消费者,办公用品,装订机,Acco,"Acco 孔加固材料, 实惠",5,155.00 ,64
A1000043,2013/1/25,二级,中国,华东,山东,消费者,办公用品,装订机,Cardinal,"Cardinal 打孔机, 回收",3,408.00 ,81
A1000043,2013/1/25,二级,中国,华东,山东,消费者,技术,复印机,夏普,"夏普 无线传真机, 红色",4,6610.00 ,1983
A1000042,2013/1/25,标准级,中国,华北,山西,消费者,家具,书架,Dania,"Dania 搁架, 传统",2,1581.00 ,537
A1000044,2013/1/26,一级,中国,西南,重庆,消费者,办公用品,用品,Fiskars,"Fiskars 美工刀, 蓝色",4,663.00 ,13
A1000044,2013/1/26,一级,中国,西南,重庆,消费者,办公用品,装订机,Avery,"Avery 装订机, 耐用",3,202.00 ,68
A1000045,2013/1/26,二级,中国,华北,河北,消费者,办公用品,装订机,Acco,"Acco 装订机盖, 实惠",2,124.00 ,24
A1000044,2013/1/26,一级,中国,西南,重庆,消费者,技术,电话,摩托罗拉,"摩托罗拉 信号增强器, 全尺寸",4,2696.00 ,1078
A1000046,2013/1/26,二级,中国,华东,上海,消费者,办公用品,用品,Fiskars,"Fiskars 开信刀, 钢",3,383.00 ,149
A1000046,2013/1/26,二级,中国,华东,上海,消费者,办公用品,装订机,Avery,"Avery 装订机, 耐用",4,269.00 ,91
A1000046,2013/1/26,二级,中国,华东,上海,消费者,家具,桌子,Chromcraft,"Chromcraft 木桌, 黑色",4,5404.00 ,-181
A1000046,2013/1/26,二级,中国,华东,上海,消费者,技术,电话,三星,"三星 智能手机, 混合尺寸",4,2354.00 ,400
A1000046,2013/1/26,二级,中国,华东,上海,消费者,技术,电话,思科,"思科 充电器, 整包",2,6080.00 ,2250
A1000047,2013/1/27,当日,中国,中南,湖北,公司,办公用品,信封,Cameo,"Cameo 商业信封, 回收",2,147.00 ,29
A1000047,2013/1/27,当日,中国,中南,湖北,公司,办公用品,装订机,Acco,"Acco 订书机, 耐用",7,1718.00 ,464
A1000049,2013/1/27,一级,中国,华东,上海,公司,办公用品,收纳具,Tenex,"Tenex 文件车, 单宽度",7,4383.00 ,745
A1000049,2013/1/27,一级,中国,华东,上海,公司,办公用品,标签,Avery,"Avery 合法证物标签, 耐用",1,55.00 ,16
A1000049,2013/1/27,一级,中国,华东,上海,公司,办公用品,美术,Boston,"Boston 画布, 整包",5,1258.00 ,100
A1000049,2013/1/27,一级,中国,华东,上海,公司,技术,设备,爱普生,"爱普生 打印机, 白色",5,6091.00 ,183
A1000048,2013/1/27,标准级,中国,华东,山东,公司,技术,电话,诺基亚,"诺基亚 信号增强器, 蓝色",1,637.00 ,32
A1000050,2013/1/30,二级,中国,东北,黑龙江,消费者,办公用品,器具,Breville,"Breville 炉灶, 红色",2,5241.00 ,1625
A1000050,2013/1/30,二级,中国,东北,黑龙江,消费者,办公用品,标签,Novimex,"Novimex 运输标签, 白色",3,154.00 ,72
A1000050,2013/1/30,二级,中国,东北,黑龙江,消费者,办公用品,用品,Kleencut,"Kleencut 剪刀, 锯齿状",4,354.00 ,110
A1000050,2013/1/30,二级,中国,东北,黑龙江,消费者,办公用品,美术,BIC,"BIC 铅笔刀, 金属",2,226.00 ,-43
A1000050,2013/1/30,二级,中国,东北,黑龙江,消费者,办公用品,装订机,Acco,"Acco 标签, 耐用",3,141.00 ,37
A1000050,2013/1/30,二级,中国,东北,黑龙江,消费者,家具,椅子,Office Star,"Office Star 摇椅, 每套两件",4,2672.00 ,80
A1000050,2013/1/30,二级,中国,东北,黑龙江,消费者,技术,配件,罗技,"罗技 记忆卡, 可编程",4,1958.00 ,215
A1000050,2013/1/30,二级,中国,东北,黑龙江,消费者,技术,配件,罗技,"罗技 闪存驱动器, 可编程",5,747.00 ,149
A1000052,2013/1/30,标准级,中国,西北,陕西,消费者,办公用品,用品,Fiskars,"Fiskars 开信刀, 蓝色",3,391.00 ,86
A1000052,2013/1/30,标准级,中国,西北,陕西,消费者,技术,电话,苹果,"苹果 充电器, 全尺寸",6,17850.00 ,3927
A1000051,2013/1/30,标准级,中国,华东,山东,小型企业,办公用品,收纳具,Tenex,"Tenex 盘, 蓝色",2,506.00 ,248
A1000051,2013/1/30,标准级,中国,华东,山东,小型企业,家具,椅子,Harbour Creations,"Harbour Creations 凳子, 可调",2,1534.00 ,443
A1000051,2013/1/30,标准级,中国,华东,山东,小型企业,家具,椅子,Hon,"Hon 扶手椅, 黑色",2,3820.00 ,552
A1000053,2013/1/31,标准级,中国,华东,江苏,消费者,家具,书架,Dania,"Dania 书架, 金属",7,2373.00 ,0
A1000053,2013/1/31,标准级,中国,华东,江苏,消费者,技术,设备,StarTech,"StarTech 卡片打印机, 耐用",4,1833.00 ,183
A1000053,2013/1/31,标准级,中国,华东,江苏,消费者,技术,配件,Enermax,"Enermax 键盘, 可编程",3,714.00 ,-321
A1000054,2013/2/1,一级,中国,西北,陕西,小型企业,家具,椅子,Safco,"SAFCO 沙滩椅, 可调",7,1696.00 ,662
A1000058,2013/2/1,二级,中国,中南,广东,公司,办公用品,装订机,Ibico,"Ibico 装订机, 实惠",4,289.00 ,83
A1000057,2013/2/1,二级,中国,中南,湖北,消费者,技术,设备,冲电器,"冲电器 打印机, 耐用",3,3761.00 ,1090
A1000055,2013/2/1,标准级,中国,华北,内蒙古,消费者,家具,椅子,Safco,"SAFCO 扶手椅, 黑色",2,2570.00 ,-557
A1000055,2013/2/1,标准级,中国,华北,内蒙古,消费者,技术,配件,贝尔金,"贝尔金 键盘, 实惠",4,939.00 ,157
A1000056,2013/2/1,标准级,中国,西南,云南,消费者,办公用品,信封,GlobeWeis,"GlobeWeis 局间信封, 回收",2,435.00 ,152
A1000056,2013/2/1,标准级,中国,西南,云南,消费者,家具,书架,Safco,"Safco 书架, 金属",1,416.00 ,-21
A1000063,2013/2/2,一级,中国,华东,上海,消费者,办公用品,纸张,Green Bar,"Green Bar 笔记本, 每包 12 个",3,475.00 ,52
A1000059,2013/2/2,二级,中国,华东,江苏,消费者,办公用品,用品,Elite,"Elite 大剪刀, 蓝色",5,658.00 ,-33
A1000061,2013/2/2,标准级,中国,东北,黑龙江,消费者,家具,用具,Tenex,"Tenex 闹钟, 耐用",2,441.00 ,97
A1000064,2013/2/2,标准级,中国,中南,广东,公司,办公用品,用品,Elite,"Elite 剪刀, 蓝色",1,105.00 ,42
A1000062,2013/2/2,标准级,中国,华北,河北,公司,办公用品,信封,Jiffy,"Jiffy 邮寄品, 回收",6,1007.00 ,503
A1000062,2013/2/2,标准级,中国,华北,河北,公司,办公用品,装订机,Avery,"Avery 装订机盖, 耐用",3,176.00 ,49
A1000062,2013/2/2,标准级,中国,华北,河北,公司,家具,桌子,Bevis,"Bevis 会议桌, 组装",2,6477.00 ,-432
A1000062,2013/2/2,标准级,中国,华北,河北,公司,家具,用具,Rubbermaid,"Rubvermaid 框架, 黑色",2,1026.00 ,174
A1000060,2013/2/2,标准级,中国,华东,山东,公司,技术,复印机,佳能,"佳能 传真复印机, 红色",4,3538.00 ,566
A1000065,2013/2/6,标准级,中国,中南,湖南,小型企业,办公用品,信封,Ames,"Ames 搭扣信封, 回收",5,140.00 ,20
A1000065,2013/2/6,标准级,中国,中南,湖南,小型企业,办公用品,标签,Harbour Creations,"Harbour Creations 合法证物标签, 耐用",7,370.00 ,7
A1000065,2013/2/6,标准级,中国,中南,湖南,小型企业,办公用品,标签,Hon,"Hon 合法证物标签, 可调",2,82.00 ,24
A1000065,2013/2/6,标准级,中国,中南,湖南,小型企业,办公用品,装订机,Wilson Jones,"Wilson Jones 订书机, 透明",8,1808.00 ,433
A1000065,2013/2/6,标准级,中国,中南,湖南,小型企业,技术,复印机,Hewlett,"Hewlett 墨水, 数字化",2,1384.00 ,388
A1000065,2013/2/6,标准级,中国,中南,湖南,小型企业,技术,电话,苹果,"苹果 办公室电话机, 整包",4,1220.00 ,268
A1000065,2013/2/6,标准级,中国,中南,湖南,小型企业,技术,设备,柯尼卡,"柯尼卡 喷墨打印机, 耐用",6,8780.00 ,4213
A1000066,2013/2/7,标准级,中国,西南,四川,消费者,家具,书架,Safco,"Safco 书库, 白色",3,3295.00 ,-659
A1000066,2013/2/7,标准级,中国,西南,四川,消费者,家具,书架,宜家,"宜家 书架, 白色",2,701.00 ,-444
A1000069,2013/2/8,二级,中国,西北,陕西,消费者,家具,椅子,Office Star,"Office Star 折叠椅, 每套两件",1,438.00 ,66
A1000067,2013/2/8,二级,中国,中南,湖北,公司,家具,桌子,Hon,"Hon 木桌, 白色",4,3984.00 ,-1295
A1000068,2013/2/8,标准级,中国,中南,湖南,小型企业,办公用品,器具,Hoover,"Hoover 搅拌机, 银色",2,914.00 ,292
A1000068,2013/2/8,标准级,中国,中南,湖南,小型企业,办公用品,标签,Avery,"Avery 文件夹标签, 可调",9,295.00 ,147
A1000068,2013/2/8,标准级,中国,中南,湖南,小型企业,办公用品,装订机,Cardinal,"Cardinal 孔加固材料, 回收",2,53.00 ,25
A1000068,2013/2/8,标准级,中国,中南,湖南,小型企业,技术,设备,柯尼卡,"柯尼卡 计算器, 红色",3,683.00 ,150
A1000070,2013/2/11,标准级,中国,华北,天津,消费者,家具,用具,Deflect-O,"Deflect-O 灯泡, 一包多件",2,178.00 ,69
A1000071,2013/2/12,一级,中国,中南,广东,公司,办公用品,信封,Kraft,"Kraft 马尼拉纸信封, 回收",8,944.00 ,396
A1000072,2013/2/13,一级,中国,华东,山东,消费者,办公用品,装订机,Acco,"Acco 打孔机, 透明",8,1104.00 ,253
A1000072,2013/2/13,一级,中国,华东,山东,消费者,家具,书架,宜家,"宜家 搁架, 黑色",4,3205.00 ,1282
A1000072,2013/2/13,一级,中国,华东,山东,消费者,家具,椅子,Harbour Creations,"Harbour Creations 椅垫, 每套两件",6,2079.00 ,602
A1000073,2013/2/13,二级,中国,华北,山西,消费者,办公用品,装订机,Acco,"Acco 订书机, 回收",7,1681.00 ,386
A1000073,2013/2/13,二级,中国,华北,山西,消费者,技术,电话,摩托罗拉,"摩托罗拉 耳机, 整包",2,745.00 ,261
A1000073,2013/2/13,二级,中国,华北,山西,消费者,技术,配件,Enermax,"Enermax 鼠标, 回收",2,356.00 ,7
A1000073,2013/2/13,二级,中国,华北,山西,消费者,技术,配件,贝尔金,"贝尔金 记忆卡, 可编程",1,543.00 ,185
A1000076,2013/2/14,当日,中国,东北,黑龙江,公司,办公用品,装订机,Acco,"Acco 订书机, 耐用",3,736.00 ,199
A1000075,2013/2/14,标准级,中国,西南,四川,消费者,办公用品,信封,Jiffy,"Jiffy 局间信封, 银色",4,912.00 ,118
A1000074,2013/2/14,标准级,中国,华北,河北,消费者,办公用品,信封,GlobeWeis,"GlobeWeis 局间信封, 每套 50 个",12,2678.00 ,1097
A1000074,2013/2/14,标准级,中国,华北,河北,消费者,办公用品,系固件,Stockwell,"Stockwell 夹子, 混合尺寸",3,140.00 ,-24
A1000077,2013/2/15,二级,中国,中南,广东,公司,家具,椅子,Office Star,"Office Star 折叠椅, 可调",2,528.00 ,-229
A1000077,2013/2/15,二级,中国,中南,广东,公司,技术,电话,三星,"三星 音频基座, 整包",1,467.00 ,-288
A1000078,2013/2/15,一级,中国,华东,福建,小型企业,办公用品,标签,Harbour Creations,"Harbour Creations 合法证物标签, 可调",4,165.00 ,1
A1000078,2013/2/15,一级,中国,华东,福建,小型企业,家具,用具,Tenex,"Tenex 分层置放架, 优质",4,445.00 ,213
A1000078,2013/2/15,一级,中国,华东,福建,小型企业,技术,配件,Memorex,"Memorex 闪存驱动器, 回收",2,254.00 ,79
A1000079,2013/2/16,二级,中国,华北,北京,公司,办公用品,器具,KitchenAid,"KitchenAid 烤面包机, 银色",2,482.00 ,16
A1000079,2013/2/16,二级,中国,华北,北京,公司,办公用品,装订机,Ibico,"Ibico 装订机盖, 回收",2,78.00 ,-29
A1000079,2013/2/16,二级,中国,华北,北京,公司,办公用品,装订机,Wilson Jones,"Wilson Jones 孔加固材料, 实惠",2,25.00 ,-7
A1000082,2013/2/17,一级,中国,中南,湖南,公司,办公用品,系固件,Advantus,"Advantus 按钉, 混合尺寸",4,133.00 ,11
A1000081,2013/2/17,二级,中国,中南,广东,公司,办公用品,用品,Elite,"Elite 美工刀, 蓝色",8,1303.00 ,156
A1000080,2013/2/17,标准级,中国,华东,山东,消费者,办公用品,收纳具,Eldon,"Eldon 文件夹, 单宽度",6,476.00 ,152
A1000083,2013/2/17,标准级,中国,东北,辽宁,消费者,办公用品,用品,Elite,"Elite 开信刀, 锯齿状",7,784.00 ,259
A1000084,2013/2/19,二级,中国,中南,广东,消费者,办公用品,系固件,Stockwell,"Stockwell 订书钉, 金属",2,61.00 ,-35
A1000084,2013/2/19,二级,中国,中南,广东,消费者,办公用品,装订机,Cardinal,"Cardinal 订书机, 回收",9,1263.00 ,-317
A1000087,2013/2/20,二级,中国,华东,福建,小型企业,办公用品,系固件,Advantus,"Advantus 橡皮筋, 混合尺寸",8,524.00 ,4
A1000087,2013/2/20,二级,中国,华东,福建,小型企业,家具,书架,Dania,"Dania 搁架, 金属",2,1576.00 ,189
A1000087,2013/2/20,二级,中国,华东,福建,小型企业,家具,书架,Sauder,"Sauder 搁架, 黑色",7,6400.00 ,2816
A1000087,2013/2/20,二级,中国,华东,福建,小型企业,家具,用具,Rubbermaid,"Rubvermaid 分层置放架, 一包多件",1,118.00 ,6
A1000085,2013/2/20,标准级,中国,东北,黑龙江,消费者,办公用品,信封,Cameo,"Cameo 局间信封, 银色",3,698.00 ,230
A1000085,2013/2/20,标准级,中国,东北,黑龙江,消费者,办公用品,美术,Binney & Smith,"Binney & Smith 钢笔, 整包",6,68.00 ,-216
A1000085,2013/2/20,标准级,中国,东北,黑龙江,消费者,办公用品,装订机,Ibico,"Ibico 装订机, 耐用",4,190.00 ,-16
A1000085,2013/2/20,标准级,中国,东北,黑龙江,消费者,家具,椅子,Safco,"SAFCO 凳子, 可调",3,1432.00 ,-334
A1000085,2013/2/20,标准级,中国,东北,黑龙江,消费者,技术,设备,冲电器,"冲电器 喷墨打印机, 多色",1,879.00 ,-323
A1000086,2013/2/20,标准级,中国,华东,安徽,消费者,技术,复印机,惠普,"惠普 无线传真机, 每套两件",6,10086.00 ,3530
A1000088,2013/2/21,标准级,中国,中南,广东,公司,办公用品,收纳具,Eldon,"Eldon 盒, 工业",4,200.00 ,38
A1000088,2013/2/21,标准级,中国,中南,广东,公司,家具,椅子,Hon,"Hon 椅垫, 可调",3,812.00 ,406
A1000090,2013/2/22,二级,中国,华东,安徽,公司,办公用品,信封,GlobeWeis,"GlobeWeis 马尼拉纸信封, 每套 50 个",3,383.00 ,88
A1000090,2013/2/22,二级,中国,华东,安徽,公司,办公用品,纸张,Green Bar,"Green Bar 信纸, 多色",1,232.00 ,72
A1000090,2013/2/22,二级,中国,华东,安徽,公司,办公用品,纸张,施乐,"施乐 计划信息表, 每包 12 个",3,343.00 ,17
A1000089,2013/2/22,标准级,中国,华东,福建,公司,办公用品,美术,BIC,"BIC 记号笔, 蓝色",4,395.00 ,-25
A1000091,2013/2/23,二级,中国,中南,广西,消费者,办公用品,装订机,Ibico,"Ibico 订书机, 耐用",3,445.00 ,-141
A1000092,2013/2/24,标准级,中国,华东,山东,消费者,家具,椅子,Harbour Creations,"Harbour Creations 摇椅, 红色",3,2059.00 ,247
